CAT,MEM1,MEM2,MEM3,MEM4
amphibians,frogs,salamanders,toads,newts
birds,parrots,sparrows,ducks,crows
boats,kayaks,canoes,yachts,speedboats
cars,BMWs,Volvos,Fords,Toyotas
criminals,robbers,murderers,embezzlers,terrorists
pieces of furniture,desks,sofas,cupboards,bookcases
dogs,spaniels,labradors,terriers,dalmatians
drinks,beers,sodas,wines,whiskeys
fish,trouts,salmons,cods,haddocks
fruits,prunes,peaches,apples,bananas
insects,bees,beetles,ants,flies
reptiles,lizards,iguanas,snakes,crocodiles
tools,hammers,saws,spanners,shovels
trees,oaks,willows,pines,maples
vegetables,carrots,cabbages,parsnips,radishes
weapons,cannons,swords,guns,spears
